ResourceID,External Cross Reference Notes,Storage Area Name,Journal or Series Volume Description,Title Type,Quantity,Contributor,Publisher Name,Creator,Road or Street Name,Archive Description Type,Repository Name,Subjects,Archive End Date,Journal or Series Name,Resource ID,Copyright Description,Archive Description text,Extent Measurement Unit,Amender,Archive Start Date,Number in Road or Street,Archive Source Format,Source Title,Archive Source Type,Publication Location Name,Periods,External Cross Reference Number,Language,Postal Code,Language,External Cross Reference Source,Copyright Type,Journal or Series Pages,Date of Publication,File,Statement of Responsibility
259b2098-6e2d-4688-9088-1dbe2e278d37,,,,,,,Morning Post,,,,,,,,,,,,,,,,Morning Post,Newspaper Article,,,2919,,,,Lincoln Heritage Database Sources,,,,,
25a3f998-601d-45c3-8cf4-e9989d49a8cf,,,,,,,,,,,,,,,,,,,,,,,The North View of Lincoln Palace taken from the Top of the Minster,Engraving,,,2122,,,,Lincoln Heritage Database Sources,,,1726,,"Buck, Samuel"
26cde44d-f87d-4ec5-8cd2-2a4d463678da,,,,,,,,,,,,,1788,,,,,,,1784,,,Stonebow from the south,Drawing,,,1512,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
26ee5843-7fe4-4d37-884a-28cb352f0781,,,,,,,,,,,,,,,,,,,,,,,Lincolnshire Gazette,Newspaper Article,,,1604,,,,Lincoln Heritage Database Sources,,,2001,,Kevin Skaith
26fc75e4-c109-46ca-858c-b49bc3113bb9,,,,,,,,,,,,,,,,,,,,,,,Newport Arch from the south,Drawing,,,1513,,,,Lincoln Heritage Database Sources,,,1784,,"Grimm, Samuel Hieronymous"
28187336-b5c4-4432-b6db-18561ac18c18,,,,,,,,,,,,,1788,,,,,,,1784,,,Lincoln Cathedral from the east,Drawing,,,2668,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
28416d9c-8acd-4f8c-909a-116f441734ea,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,1:1250 map of Lincoln.,Map,,,1960,,,,Lincoln Heritage Database Sources,,,1967,,Ordnance Survey
2cae82fe-d0d5-486c-ad72-c3b2ef5363a6,,,,,,,The Friends of Lincoln Cathedral,,,,,,,,,,,,,,,,Lincoln Angels,Leaflet,,,1870,,,,Lincoln Heritage Database Sources,,,,,"Gardner, A."
2e76c3a4-852f-460d-974c-4ee8fad2ebe9,,,,,,,,,,,,,,,,,,,,,,,Newport Arch from the north,Image,,,2552,,,,Lincoln Heritage Database Sources,,,,,
306c6b57-e27a-4510-b0fe-89952b4071dd,,,,,,,,,,,,,,,,,,,,,,,A plan of Lands remaining titheable in the Parish of St Peter in Eastgate Lincoln,Map,,,2133,,,,Lincoln Heritage Database Sources,,,1849,,Betham and Son
313a8fc2-7923-4f6b-a806-46ae0241aac3,,,,,,,"Department of Culture, Media and Sport",,,,,,,,,,,,,,,,Revised List of Buildings of Special Architectural or Historic Interest: City of Lincoln. County of Lincolnshire,List of Buildings,,,871,,,,Lincoln Heritage Database Sources,,,1999,,"Department of Culture, Media and Sport"
3153a62d-2326-482b-bb24-cef37ade6649,,,,,,,,,,,,,,,,,,,,,,,Lincolns New Water,Newspaper Article,,,1220,,,,Lincoln Heritage Database Sources,,,1911,,
31b98b18-c3bc-49b7-86a9-9188491b6054,,,,,,,,,,,,,1786,,,,,,,1784,,,Church of St Botolph,Drawing,,,1506,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
323d703e-cad6-4cfc-a15d-ad72065adec7,,,,,,,,,,,,,,,,,,,,,,,The Lincoln Gas Light and Coke Co Ltd,Manuscript,,,1219,,,,Lincoln Heritage Database Sources,,,,,
324b7c74-2e95-4e44-9181-b89900410ce8,,,,,,,,,,,,,,,,,,,,,,,Greyfriars,Drawing,,,2067,,,,Lincoln Heritage Database Sources,,,1725,,Buck
34c002ec-b510-4d15-8921-a2132cc6fbd8,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln, St Pauls Church",Drawing,,,2660,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
34ed40cf-b16d-4a7e-90c4-e332d055bfd6,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, St Martins church",Drawing,,,1507,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
35d1bdc6-90d9-4678-9799-60171f9312b9,,,,,,,,,,,,,,,,,,,,,,,Lincs Chronicle 1836,Newspaper Article,,,1759,,,,Lincoln Heritage Database Sources,,,1836,,
36e5a8f2-9a07-4d2b-886b-100373cf359f,,,,,,,Ordnance Survey,,,,,,,,,,,,,,,,"Reform Act Plan, 2 inches to the mile",Map,,,2555,,,,Lincoln Heritage Database Sources,,,1820,,Ordnance Survey
377e92e1-8955-4009-b45d-369aec3c2c88,,,,,,,,,,,,,1786,,,,,,,1784,,,Mint Wall from the south,Drawing,,,1515,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
37f4ba99-6103-4b68-bc16-dfa926412ada,,,,,,,,,,,,,,,,,,,,,,,High Street looking north. A drawing,Drawing,,,1490,,,,Lincoln Heritage Database Sources,,,1818,,"Brooke, William Henry"
3a3596f9-7b24-4967-9ef6-1217692c6a5d,,,,,,,"Gough MSS Collection, Bodleian Library, Oxford",,,,,,,,,,,,,,,,"Adversaria, or collections for an history of the city of Lincoln",Manuscript,,,461,,,,Lincoln Heritage Database Sources,,,1737,,"Sympson, T."
3b2d03ed-7630-4946-b7c7-2be56a93f4d5,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, houses of the Sub-dean and precentor",Drawing,,,2648,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
3b7540cb-78b3-46f5-9911-cc89258a90c4,,,,,,,,,,,,,,,,,Copy in LAO ref L. Linc.373 Gart. Typescript in 6 vols,,,,,,Draft History (of Greyfriars),Manuscript,,,2062,,,,Lincoln Heritage Database Sources,,,1983,,"Garton, C."
